scopus_source_id,title,citescore,percentile,citation_count,scholarly_output,percent_cited,snip,sjr,rank,rank_outof,publisher,publication_type,open_access,scopus_asjc_code,subject_area,quartile,top_10,scopus_link,index,publisher2,percentile2,frequency,journal_website,review_time,open_access2,print_issn,e_issn,my_index,my_publisher,my_percentile,my_frequency,my_open_access
20979,Journal of Mechanical Design - Transactions of the ASME,3.43,83,1485,433,80,1.447,0.894,12,70,American Society of Mechanical Engineers(ASME),Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/20979,Scopus,Others,1,Monthly,https://asmedigitalcollection.asme.org/mechanicaldesign,,No,1050-0472,1528-9001,1.0,0.4,1.0,0.7,0.5
21100200639,Journal of Gaming & Virtual Worlds,0.58,19,31,53,30,0.776,0.283,57,70,Intellect Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/21100200639,Scopus,Others,4,Tri-annual,"http://www.intellectbooks.co.uk/journals/view-Journal,id=164/",,No,1757-191X,1757-1928,1.0,0.4,0.7,0.3,0.5
21100432483,ITE Transactions on Media Technology and Applications,1.0,36,110,110,38,0.833,0.257,45,70,Institute of Image Information and Television Engineers,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/21100432483,Scopus,Others,3,Bi-monthly,,,No,,2186-7364,1.0,0.4,0.5,0.6,0.5
21100820602,Journal of Computational Design and Engineering,3.35,82,308,92,76,1.775,0.668,13,70,Society for Computational Design and Engineering,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/21100820602,Scopus,Others,1,Bi-monthly,http://www.journals.elsevier.com/journal-of-computational-design-and-engineering/,28 weeks,Yes,2288-4300,2288-5048,1.0,0.4,1.0,0.6,1.0
21100823281,International Journal of Software Innovation,0.68,23,15,22,27,0.672,0.151,54,70,IGI Global Publishing,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/21100823281,Scopus,Others,4,Quarterly,http://www.igi-global.com/gateway/journal/64245,,No,2166-7160,2166-7179,1.0,0.4,0.7,0.2,0.5
21100826268,Computer Science,0.38,10,9,24,25,0.569,0.106,63,70,AGH University of Science and Technology,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/21100826268,Scopus,Others,4,Quarterly,https://journals.agh.edu.pl/csci,20 weeks,Yes,1508-2806,2300-7036,1.0,0.4,0.7,0.2,1.0
21100843319,Archives of Design Research,0.19,7,9,48,17,0.031,0.125,65,70,Korean Society of Design Science,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/21100843319,Scopus,Others,4,Bi-monthly,,,No,1226-8046,2288-2987,1.0,0.4,0.7,0.6,0.5
21100856541,Visualization in Engineering,2.92,75,140,48,65,1.407,0.537,18,70,Springer Open,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/21100856541,Scopus,Springer,1,Bi-monthly,,,Yes,,2213-7459,1.0,1.0,1.0,0.6,1.0
21100869486,Computational Visual Media,1.82,57,173,95,78,0.975,0.477,30,70,Tsinghua University Press,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/21100869486,Scopus,Others,2,Bi-monthly,,,Yes,2096-0433,2096-0662,1.0,0.4,0.3,0.6,1.0
21100889855,Advances in Computational Design,0.77,29,37,48,54,0.36,-,50,70,Techno-Press,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/21100889855,Scopus,Others,3,Quarterly,http://technopress.kaist.ac.kr/?journal=acd&subpage=7#,,No,2383-8477,2466-0523,1.0,0.4,0.5,0.2,0.5
21100900151,Journal of Imaging,1.47,49,150,102,65,-,-,36,70,Multidisciplinary Digital Publishing Institute,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/21100900151,Scopus,Others,3,Bi-monthly,,,No,,2313-433X,1.0,0.4,0.5,0.6,0.5
23607,Computerized Medical Imaging and Graphics,3.7,85,799,216,77,1.666,0.805,11,70,Elsevier Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/23607,Scopus,Elsevier,1,Bi-monthly,http://www.elsevier.com/wps/find/journaldescription.cws_home/292/description#description,,No,0895-6111,1879-0771,1.0,0.85,1.0,0.6,0.5
24621,Journal of Molecular Graphics and Modelling,1.92,65,1110,579,69,0.605,0.459,25,70,Elsevier Inc.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/24621,Scopus,Elsevier,2,Bi-monthly,http://www.journals.elsevier.com/journal-of-molecular-graphics-and-modelling/#description,,No,1093-3263,1873-4243,1.0,0.85,0.3,0.6,0.5
24972,ACM Transactions on Graphics,7.37,95,5408,734,93,3.015,2.272,4,70,Association for Computing Machinery (ACM),Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/24972,Scopus,ACM,1,Bi-monthly,http://tog.acm.org/,,No,0730-0301,1557-7368,1.0,0.25,1.0,0.6,0.5
24998,Computer Aided Geometric Design,1.67,53,318,190,56,1.186,0.736,33,70,Elsevier,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/24998,Scopus,Elsevier,2,Monthly,http://www.journals.elsevier.com/computer-aided-geometric-design/#description,,No,0167-8396,1879-2332,1.0,0.85,0.3,0.7,0.5
25023,Computer Graphics Forum,2.94,76,2155,734,76,1.567,0.862,17,70,Wiley-Blackwell Publishing Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/25023,Scopus,Others,1,Bi-monthly,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-8659,,No,0167-7055,1467-8659,1.0,0.4,1.0,0.6,0.5
25028,Computers and Graphics,1.86,60,629,339,61,1.082,0.4,28,70,Elsevier Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/25028,Scopus,Elsevier,2,Bi-monthly,http://www.journals.elsevier.com/computers-and-graphics/,,No,0097-8493,1873-7684,1.0,0.85,0.3,0.6,0.5
25515,Graphical Models,1.28,43,96,75,56,0.715,0.303,40,70,Elsevier Inc.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/25515,Scopus,Elsevier,3,Bi-monthly,http://www.journals.elsevier.com/graphical-models/#description,,No,1524-0703,1524-0711,1.0,0.85,0.5,0.6,0.5
25518,IEEE Computer Graphics and Applications,1.88,62,443,236,56,1.021,0.289,26,70,IEEE Computer Society,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/25518,Scopus,IEEE,2,Bi-monthly,http://www.computer.org/portal/web/computingnow/cga,,No,0272-1716,1558-1756,1.0,0.7,0.3,0.6,0.5
25534,IEEE Transactions on Image Processing,9.63,99,13133,1364,91,3.838,1.809,1,70,Institute of Electrical and Electronics Engineers Inc.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/25534,Scopus,IEEE,1,Monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=83,,No,1057-7149,1941-0042,1.0,0.7,1.0,0.7,0.5
25535,IEEE Transactions on Visualization and Computer Graphics,4.64,92,2890,623,81,2.407,0.957,6,70,IEEE Computer Society,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/25535,Scopus,IEEE,1,Monthly,http://www.computer.org/portal/web/tvcg,,No,1077-2626,1941-0506,1.0,0.7,1.0,0.7,0.5
25566,Zidonghua Xuebao/Acta Automatica Sinica,2.15,69,1252,583,64,1.273,0.377,22,70,Science Press,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/25566,Scopus,Others,2,Bi-monthly,,,No,0254-4156,,1.0,0.4,0.3,0.6,0.5
25574,Jisuanji Fuzhu Sheji Yu Tuxingxue Xuebao/Journal of Computer-Aided Design and Computer Graphics,0.53,17,433,817,34,0.43,0.161,58,70,Institute of Computing Technology,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/25574,Scopus,Others,4,Bi-monthly,,,No,1003-9775,,1.0,0.4,0.7,0.6,0.5
26076,"IEICE Transactions on Fundamentals of Electronics, Communications and Computer Sciences",0.45,12,521,1147,28,0.379,0.18,62,70,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/26076,Scopus,Others,4,Monthly,http://search.ieice.org/bin/index.php/category_A/lang_E/curr_1,,No,0916-8508,1745-1337,1.0,0.4,0.7,0.7,0.5
26131,Jisuanji Xuebao/Chinese Journal of Computers,1.22,40,662,541,52,0.885,0.222,42,70,Science Press,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/26131,Scopus,Others,3,Bi-monthly,,,No,0254-4164,,1.0,0.4,0.5,0.6,0.5
26138,Parallel Computing,1.72,55,333,194,62,1.043,0.328,32,70,Elsevier,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/26138,Scopus,Elsevier,2,Monthly,http://www.journals.elsevier.com/parallel-computing/#description,,No,0167-8191,1872-7336,1.0,0.85,0.3,0.7,0.5
26146,Visual Computer,1.74,56,692,398,64,1.119,0.375,31,70,Springer Verlag,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/26146,Scopus,Springer,2,Bi-monthly,http://www.springerlink.com/content/100388/,,No,0178-2789,1432-2315,1.0,1.0,0.3,0.6,0.5
26324,Random Structures and Algorithms,1.23,42,233,190,58,1.306,1.468,41,70,John Wiley and Sons Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/26324,Scopus,Others,3,Bi-monthly,http://onlinelibrary.wiley.com/journal/10.1002/(ISSN)1098-2418,,No,1042-9832,1098-2418,1.0,0.4,0.5,0.6,0.5
27724,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,3.06,79,1590,519,74,1.65,0.476,15,70,Institute of Electrical and Electronics Engineers Inc.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,,https://www.scopus.com/sourceid/27724,Scopus,IEEE,1,Monthly,http://ieeexplore.ieee.org/xpl/aboutJournal.jsp?punumber=43,,No,0278-0070,1937-4151,1.0,0.7,1.0,0.7,0.5
4700151607,Computer-Aided Design and Applications,0.92,33,243,263,48,0.693,0.37,47,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/4700151607,Scopus,Taylor and Francis,3,Bi-monthly,,,No,1686-4360,,1.0,0.55,0.5,0.6,0.5
4700152485,Pattern Recognition and Image Analysis,0.93,35,263,284,42,0.704,0.211,46,70,Pleiades Publishing,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/4700152485,Scopus,Others,3,Bi-monthly,,,No,1054-6618,,1.0,0.4,0.5,0.6,0.5
4700152490,International journal of computer assisted radiology and surgery,2.34,72,1427,610,70,1.128,0.625,20,70,Springer Verlag,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/4700152490,Scopus,Springer,2,Bi-monthly,http://www.springerlink.com/content/120019/,,No,1861-6410,1861-6429,1.0,1.0,0.3,0.6,0.5
4700152807,Foundations and Trends in Electronic Design Automation,1.4,47,14,10,70,0.783,0.169,37,70,Now Publishers Inc,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/4700152807,Scopus,Others,3,Quarterly,http://www.nowpublishers.com/EDA,,No,1551-3939,1551-3947,1.0,0.4,0.5,0.2,0.5
4900152809,Digital Textile,0.01,2,1,104,1,-,0.101,69,70,World Textile Publications Ltd,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/4900152809,Scopus,Others,4,Bi-monthly,,,No,1742-1128,,1.0,0.4,0.7,0.6,0.5
5400152714,IET Software,1.4,47,109,78,60,0.777,0.171,37,70,Institution of Engineering and Technology,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/5400152714,Scopus,Others,3,Bi-monthly,http://digital-library.theiet.org/IET-SEN,,No,1751-8806,1751-8814,1.0,0.4,0.5,0.6,0.5
5800173379,Virtual and Physical Prototyping,7.61,96,685,90,76,2.571,2.144,3,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile1,Top 10%,https://www.scopus.com/sourceid/5800173379,Scopus,Taylor and Francis,1,Quarterly,http://www.tandfonline.com/loi/nvpp20,,No,1745-2759,1745-2767,1.0,0.55,1.0,0.2,0.5
5800208235,Spatial Cognition and Computation,2.29,70,94,41,73,1.72,0.469,21,70,Taylor and Francis Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile2,,https://www.scopus.com/sourceid/5800208235,Scopus,Taylor and Francis,2,Quarterly,http://www.tandfonline.com/loi/hscc20,,No,1387-5868,1542-7633,1.0,0.55,0.3,0.2,0.5
5900152897,Journal of Design Research,0.65,22,34,52,38,0.428,0.196,55,70,Inderscience Enterprises Ltd.,Journal,NO,1704,Computer Graphics and Computer-Aided Design,Quartile4,,https://www.scopus.com/sourceid/5900152897,Scopus,Inderscience,4,Bi-monthly,,,No,1748-3050,1569-1551,1.0,0.1,0.7,0.6,0.5
62723,VLSI Design,0.74,25,20,27,44,1.238,0.113,53,70,Hindawi Publishing Corporation,Journal,YES,1704,Computer Graphics and Computer-Aided Design,Quartile3,,https://www.scopus.com/sourceid/62723,Scopus,Others,3,Bi-monthly,,,Yes,1065-514X,1563-5171,1.0,0.4,0.5,0.6,1.0
